POINTID,Bdfine (g cm-3),SOCS (kg cm-2),coarse_vol,GPS_LAT,GPS_LONG,BDfine  method 
37562394,0.79 ,7.03 ,0.05 ,44.41546353,2.908395354,Measurement
32521944,1.31 ,1.29 ,0.07 ,39.79664597,-2.476821747,Measurement
50822946,1.32 ,3.71 ,0.05 ,49.13884157,20.46705064,Measurement
28282334,0.68 ,9.43 ,0.04 ,42.46625999,-8.298033609,Measurement
34121886,1.24 ,2.63 ,0.04 ,39.49677715,-0.545302656,Measurement
51724832,1.06 ,3.48 ,0.02 ,65.56795863,28.55829312,Measurement
27302020,1.06 ,2.81 ,0.13 ,39.50689337,-8.602248621,Measurement
50523678,1.17 ,5.35 ,0.02 ,55.67132033,21.67045991,Measurement
34022030,1.02 ,5.74 ,0.05 ,40.77297349,-0.877950102,Measurement
45163932,1.11 ,4.20 ,0.02 ,58.44821322,13.3352191,Measurement
38282398,0.69 ,6.18 ,0.13 ,44.50897017,3.804393544,Measurement
31881998,1.20 ,0.92 ,0.02 ,40.17959892,-3.312059183,Measurement
64081650,0.89 ,2.43 ,0.06 ,35.07029201,33.01945217,Measurement
49863322,1.25 ,2.96 ,0.03 ,52.60095695,19.84941898,Measurement
43223702,1.30 ,3.05 ,0.08 ,56.42141926,10.01619085,Measurement
38842342,1.29 ,1.39 ,0.12 ,44.04489504,4.554286069,Measurement
33641826,1.16 ,4.40 ,0.10 ,38.89783113,-1.005272429,Measurement
33662236,1.22 ,2.72 ,0.03 ,42.56314607,-1.645143224,Measurement
49603476,1.31 ,4.04 ,0.04 ,54.00169772,19.77749005,Measurement
37242640,0.90 ,6.33 ,0.05 ,46.59082362,2.201285013,Measurement
35482790,1.22 ,3.75 ,0.00 ,47.73617575,-0.338243351,Measurement
34322080,1.26 ,1.80 ,0.02 ,41.25844336,-0.602714945,Measurement
45062554,0.65 ,8.70 ,0.01 ,46.07224928,12.38888137,Measurement
47462746,0.36 ,12.11 ,0.05 ,47.68111841,15.66310175,Measurement
37542850,1.24 ,2.34 ,0.06 ,48.49728298,2.315151286,Measurement
46442642,0.70 ,3.56 ,0.05 ,46.80855783,14.23047478,Measurement
39662496,0.50 ,12.69 ,0.06 ,45.4791156,5.463193816,Measurement
42463162,0.81 ,9.43 ,0.02 ,51.56359765,8.918386093,Measurement
27981972,1.15 ,1.41 ,0.19 ,39.23202797,-7.713670721,Measurement
34962128,1.13 ,2.64 ,0.02 ,41.76620024,0.083927601,Measurement
42223056,1.15 ,5.34 ,0.06 ,50.60726911,8.601438468,Measurement
48403252,1.43 ,3.20 ,0.04 ,52.13398685,17.59553619,Measurement
30121830,1.07 ,1.94 ,0.08 ,38.39172098,-4.989852372,Measurement
32242312,1.02 ,5.20 ,0.08 ,43.02492235,-3.502206464,Measurement
45963382,1.48 ,2.92 ,0.06 ,53.47506769,14.14384729,Measurement
43822458,0.93 ,7.33 ,0.06 ,45.23118983,10.77554315,Measurement
28022250,1.01 ,3.65 ,0.04 ,41.6759665,-8.376746755,Measurement
34822350,1.34 ,3.78 ,0.01 ,43.73301367,-0.426668683,Measurement
36662830,1.30 ,2.34 ,0.05 ,48.23014694,1.163487445,Measurement
40022438,0.88 ,6.27 ,0.22 ,44.97600582,5.960679959,Measurement
45243904,1.20 ,3.55 ,0.04 ,58.1933301,13.44769347,Measurement
32222012,0.92 ,3.60 ,0.07 ,40.3572247,-2.944434853,Measurement
43382354,0.63 ,8.03 ,0.01 ,44.29622267,10.21256675,Measurement
39382738,0.79 ,5.24 ,0.28 ,47.63680744,4.902017232,Measurement
50784598,0.82 ,9.07 ,0.04 ,63.73345227,25.38742047,Measurement
34242074,1.07 ,2.15 ,0.04 ,41.19464152,-0.687802175,Measurement
35102926,1.03 ,4.99 ,0.16 ,48.89545506,-1.105273064,Measurement
31621858,1.02 ,1.70 ,0.10 ,38.89223959,-3.35179924,Measurement
46944048,1.00 ,6.70 ,0.02 ,59.37771348,16.5581521,Measurement
32422124,0.97 ,2.38 ,0.17 ,41.38443329,-2.918204629,Measurement
47924096,1.13 ,7.06 ,0.04 ,59.71430589,18.37139569,Measurement
37022938,1.19 ,2.36 ,0.06 ,49.23200272,1.481074682,Measurement
39882750,1.08 ,5.06 ,0.01 ,47.7735497,5.556720394,Measurement
35742526,0.86 ,5.57 ,0.13 ,45.41447036,0.441591872,Measurement
37722832,1.24 ,2.42 ,0.03 ,48.35286763,2.581506198,Measurement
30002398,0.70 ,8.60 ,0.07 ,43.38300125,-6.406963205,Measurement
31641838,1.05 ,3.04 ,0.06 ,38.71718835,-3.293085863,Measurement
29402410,0.53 ,7.25 ,0.08 ,43.36781151,-7.162459091,Measurement
36422180,0.76 ,5.28 ,0.15 ,42.3906468,1.762792125,Measurement
47022650,0.49 ,9.73 ,0.02 ,46.84798219,14.99507212,Measurement
51663638,0.64 ,10.34 ,0.01 ,55.14101918,23.33345134,Measurement
36982404,1.05 ,6.06 ,0.03 ,44.45304684,2.172307568,Measurement
37882530,1.07 ,5.41 ,0.06 ,45.6621367,3.159498445,Measurement
48742590,1.53 ,4.86 ,0.05 ,46.18298221,17.16674593,Measurement
42583236,1.25 ,3.09 ,0.04 ,52.23008358,9.077918595,Measurement
42722806,1.19 ,4.28 ,0.04 ,48.36551222,9.338978782,Measurement
44564074,0.77 ,9.93 ,0.01 ,59.74610353,12.39567782,Measurement
47744144,0.67 ,5.87 ,0.04 ,60.16163252,18.15730702,Measurement
46842128,0.80 ,3.11 ,0.03 ,42.1613698,14.37991957,Measurement
40242846,1.29 ,3.81 ,0.01 ,48.65426394,5.968041785,Measurement
30582222,1.23 ,2.70 ,0.04 ,41.94336505,-5.293623931,Measurement
29542262,0.94 ,2.71 ,0.11 ,42.09780997,-6.618666971,Measurement
46464292,0.72 ,2.15 ,0.02 ,61.6023033,16.10923052,Measurement
49163194,1.26 ,4.07 ,0.02 ,51.54068151,18.59908852,Measurement
55102172,1.29 ,2.23 ,0.10 ,41.63189317,24.3104519,Measurement
48623122,1.23 ,3.38 ,0.03 ,50.95224458,17.71523488,Measurement
44043276,0.60 ,11.08 ,0.00 ,52.58686347,11.22465385,Measurement
47682402,0.77 ,11.33 ,0.01 ,44.57765384,15.62305053,Measurement
44922480,1.14 ,7.05 ,0.03 ,45.40977032,12.18140482,Measurement
49523276,1.27 ,2.88 ,0.05 ,52.23171701,19.26439333,Measurement
29122342,0.51 ,9.75 ,0.04 ,42.71462237,-7.3203035,Measurement
35382192,0.50 ,9.51 ,0.08 ,42.38777669,0.494449521,Measurement
45162820,1.05 ,5.97 ,0.10 ,48.46209643,12.63624948,Measurement
36502878,1.05 ,3.16 ,0.08 ,48.64082235,0.871655194,Measurement
45102102,1.15 ,1.73 ,0.03 ,41.99599202,12.27320449,Measurement
30221758,1.20 ,3.01 ,0.10 ,37.7698361,-4.736115532,Measurement
33502852,1.09 ,7.97 ,0.07 ,48.00465823,-3.084297008,Measurement
38582838,1.11 ,5.80 ,0.03 ,48.47826427,3.73145766,Measurement
39302766,1.00 ,3.62 ,0.20 ,47.88306377,4.770263119,Measurement
46503018,1.33 ,5.52 ,0.05 ,50.18114843,14.60923771,Measurement
33162080,0.91 ,9.65 ,0.14 ,41.10238864,-1.968387898,Measurement
29541908,1.11 ,1.80 ,0.11 ,38.97714068,-5.804846388,Measurement
32342056,0.95 ,2.82 ,0.19 ,40.76726705,-2.885591747,Measurement
51663358,1.12 ,1.39 ,0.03 ,52.67150803,22.56352044,Measurement
44022576,0.94 ,2.55 ,0.12 ,46.29200522,11.05004999,Measurement
44643268,1.49 ,2.98 ,0.01 ,52.50264897,12.10614742,Measurement
35362710,1.00 ,5.12 ,0.02 ,47.00907427,-0.352757804,Measurement
27801810,0.73 ,4.63 ,0.19 ,37.76937439,-7.532160065,Measurement
